pade approximant f(x^2) f(x):=inverf(x)/x

range x in [0, 0.5]
expected
series x = 0
0,8.86226925452758013649e-1
1,2.32013666534654493554e-1
2,1.27556175305597958254e-1
3,8.65521292415475337296e-2
4,6.49596177453854133820e-2
5,5.17312819846163741126e-2
6,4.28367206517973498447e-2
7,3.64659293085316263256e-2
8,3.16890050216054468096e-2
9,2.79806329649952247334e-2
10,2.50222758411983494572e-2
11,2.26098633188975744328e-2
12,2.06067803790590017188e-2
13,1.89182172507788544635e-2
14,1.74763705628565461904e-2
15,1.62315009876852512753e-2
16,1.51463150632478055204e-2
17,1.41923160025099641512e-2
18,1.33473641974212971503e-2
19,1.25940048713320698416e-2
20,1.19182959363920398739e-2
21,1.13089701059225367722e-2
22,1.07568253033179575778e-2
23,1.02542740818534682141e-2
24,9.79500577007117565181e-3
25,9.37372981918208151683e-3
26,8.98597850284337808804e-3
27,8.62795358070943465254e-3
28,8.29640592773924140441e-3
29,7.98854016260335483777e-3
30,7.70193843225976116637e-3
31,7.43449901783153060384e-3
32,7.18438651126831244412e-3
33,6.94999110106471485712e-3
34,6.72989508534152981828e-3
35,6.52284516145006176435e-3
36,6.32772936434314323002e-3
37,6.14355777038415591689e-3
38,5.96944626973445629437e-3
39,5.80460285383430176030e-3
40,5.64831597555156001751e-3
41,5.49994462620396350840e-3
42,5.35890984168644547029e-3
43,5.22468740368749060984e-3
44,5.09680154470620556637e-3
45,4.97481949973904039883e-3
46,4.85834677495848553682e-3
47,4.74702302588497662306e-3
48,4.64051845555903192536e-3
49,4.53853065790708485618e-3
50,4.44078184352718353227e-3
51,4.34701639502151030530e-3
52,4.25699870718272882770e-3
53,4.17051127412617157112e-3
54,4.08735299110902163849e-3
55,4.00733764349814205679e-3
56,3.93029255930647814844e-3
57,3.85605740504821755180e-3
58,3.78448310747382581560e-3
59,3.71543088612604792433e-3
60,3.64877138367909283721e-3
61,3.58438388274456894823e-3
62,3.52215559929786878265e-3
63,3.46198104413766023086e-3
64,3.40376144487207088729e-3
