pade approximant f(x^2) f(x):=inverf(x)/x

range x in [0, 0.5]
44,5.09680154470620556637187564870718188508791532939860706185905897833913434219533311e-3
45,4.97481949973904039882814274647942115903533958225479539826639717581719889955718491e-3
46,4.85834677495848553681786043289439499505129099233963553512656291790324469130701255e-3
47,4.74702302588497662306073814661879203296632297985339956953554770682409913754545291e-3
48,4.64051845555903192536434167136390042849368223495393891818380478555201610003296933e-3
49,4.53853065790708485618150487027232775075937404273976321710042199647523943734161638e-3
50,4.44078184352718353227207942832780149475687982606174939558623344907829424114100723e-3
51,4.34701639502151030529981895321079041079579994671739085228455166345617699411321302e-3
52,4.25699870718272882769710840304382473914000991280300102630479172152506230245335151e-3
53,4.17051127412617157112204611105770560620548978504970495432248263830409802113375467e-3
54,4.08735299110902163848963357456753974376856113180805728861919874301190100504804093e-3
55,4.00733764349814205679452255262287587780645505678851507300158155074014046256258926e-3
56,3.93029255930647814844320788267597823306623174516716411128948132070627119361329833e-3
57,3.85605740504821755180091739030106304665301570323658456200578542765670391363557785e-3
58,3.78448310747382581560073702090178042553477657081554645418310591548845830802837029e-3
59,3.71543088612604792433025972127672420185805974221078364255833325598916544432847778e-3
60,3.64877138367909283720933842555725777840163620825200754101473836427374724202008037e-3
61,3.58438388274456894823474952134941679749636356337548682621627191728317294096703771e-3
62,3.52215559929786878264522610076647541838069364106302814502130593754057495639689476e-3
63,3.46198104413766023085530033644712919381754832443618667274002660394904650225644265e-3
64,3.40376144487207088729198804020518984669638708962964477857822453849565166488585842e-3
65,3.34740422185556472075799320341108952164614529897209559855149713911958014854057801e-3
66,3.29282251230331717056259966850967734712749525944891049239040324748413523648912016e-3
67,3.23993473750423107341380214771818045894388424657142284652655771458770397669224939e-3
68,3.18866420865562953153483921933724744491265315923161821449975045152271538027727642e-3
69,3.13893876736557568244230463967067344749370727354116174110913248188285131278563332e-3
70,3.09069045732404202966077978228835478561911918628364973104782671940334449799816305e-3
71,3.04385522404135837206987366639561371017088197497780981656900895556878026246287557e-3
72,2.99837263989961335156500132912488832994565618420314417578688598145845288157430916e-3
73,2.95418565206684953552238826530512158551950153911152297451245018281167783442929183e-3
74,2.91124035109082806924536682756717194604641107981885255034301691642352845305339606e-3
75,2.86948575822383648634062354331242791686239800328862500467776640975205749203845752e-3
76,2.82887362973673698655280204393849187729859449495829988306315175109705426868462399e-3
77,2.78935827666285512017777560958493951894893964839032428798780138160557391690394767e-3
78,2.75089639857352560899637961226115458954958249415739651675817042022092404246514970e-3
79,2.71344693012983966094474624074477466428425004105901968030752331285568828349607260e-3
80,2.67697089928170074064820505366951956993768102005764351003982460552173351233441531e-3
81,2.64143129609770035699623834803374213826766089173356145909970756555893975547859372e-3
82,2.60679295130930850941010554249269654438579567215224050363230731905440382559407484e-3
83,2.57302242374194022687149498425674391669217652039842719901499599318655550499114489e-3
84,2.54008789588491728536982508058961026075372106371483045412364825688427904953391764e-3
85,2.50795907692332984612221852391628381270504908128846387970602263287483236841731890e-3
86,2.47660711261830738520774872786309262981036408315209901798033322399423314105000104e-3
87,2.44600450147909692149996313614798107860659326322309137869139397249307562354404777e-3
88,2.41612501672137554715752845277677948364414596024506783174816820075432711572025230e-3
89,2.38694363355205601175351068302522311271421336133879477356571708625631794720679718e-3
90,2.35843646136205961513510026367094824649172350581348330274462847316930960317110326e-3
91,2.33058068044564033215141131452669102876720081561317041581570782742423087785892541e-3
92,2.30335448289829698096013257884526871642802827850267783004846938727100800961155554e-3
93,2.27673701737550201426317309534295115111609428605570165229781610885863104514533812e-3
94,2.25070833742175526835301334540002714149700752851972591117375836351976464401586554e-3
95,2.22524935310414721474968284026295257912470350386578918123508958179275540729140861e-3
96,2.20034178570696185176631592236419925398733917892237602551038345977091729015908536e-3
97,2.17596812526410615598247155921677501295996370627091646341217516039096898446851839e-3
98,2.15211159072453550180688706837750240751216032417363626158892916787434836312547197e-3
99,2.12875609256254319865081118032082166162432549510760904831162357291105592497995523e-3
100,2.10588619765996675948497297357698000814838339219639242898495988030069879644085716e-3
101,2.08348709630118461022494261019236339292110133200796967328429412077212845749357087e-3
102,2.06154457113436921814733277873901060092590876004128506928796472280412743578760592e-3
103,2.04004496796394615047504482752421889592476500887433783775683247707556730330952404e-3
104,2.01897516824969068759480122743428003049923161345899693047783580459600283406993383e-3
105,1.99832256319747031773337051282710544911843150098040653903529319549221599824986811e-3
106,1.97807502933539871897745811500309323218743951025600339872544349278366936219603638e-3
107,1.95822090547718178650610774380429732763400232981289187200718199528107674405639498e-3
108,1.93874897098177808560612705892167950514710536970940304880323544385428883826474732e-3
109,1.91964842522522697784221571934016297812974262652376651202950207838067340394078815e-3
110,1.90090886820667349788929792455224046521208139491507534469317626124610252057330231e-3
111,1.88252028221629019673518088956273197908597477638459859102921069204331900179888698e-3
112,1.86447301449800798384450169705247465691803282660257703790757074639094334763938824e-3
113,1.84675776084476142394624313479075333351387460164376902285788522994794212599755809e-3
114,1.82936555006836592792930032500145486314478988469066448650519659191647942019192932e-3
115,1.81228772929020822029175570808220449929397947744327511200534439374394375374145710e-3
116,1.79551595000267757974649606331571863971535544347141370051144415698458122543617492e-3
117,1.77904215485472098921928605854463471343248809231533682861431785288905450957130756e-3
118,1.76285856511809528527636859931510212209719140782587839466150245535127816870314108e-3
119,1.74695766879383614820272455535328496601235440939269991592430529141240477511814583e-3
120,1.73133220932118773205963304121974464683495656550199948634705122685477572890946716e-3
121,1.71597517485375644172192656642528869140853764317018030747918924175980039271567657e-3
122,1.70087978806998468150803500792994419831945129756856786946775468884007171014298453e-3
123,1.68603949648720067070823727346256883254859461167258970017505150428322672189934701e-3
124,1.67144796325050261862943348312948042969855007028378613506990006720035089220915358e-3
125,1.65709905836959241186164363220609376836700439164849537140533248696040283491077182e-3
126,1.64298685037839710660038513179472837976812831139776745712476216276248224792840715e-3
127,1.62910559839391654372461169870907066068149873852421379700802207952828849920441760e-3
128,1.61544974455222200151381027373343385641962341795235010827136160371639423727621234e-3
129,1.60201390680091282665184029082379678187866635587982570880643069109168660271465714e-3
130,1.58879287202862354062103245123881990805274930235544162287108827591983898777458473e-3
131,1.57578158951337042317357959281757305039860261914948107346835577344126764746934827e-3
132,1.56297516467264082263463193825663152359627533724461409059573173146052843049872932e-3
133,1.55036885309916666406700086718193448337182546873154544773180546386466287791629770e-3
134,1.53795805486729153584637754981296129295272819614490942005634457289847942163983171e-3
135,1.52573830909574357931749081755666582770722661458888235294327110430157979802287984e-3
136,1.51370528875346900419991213043335482817713143388098099424093899748503631877495251e-3
137,1.50185479569596783410142071399672210688795369268656483527278981114902613551232949e-3
138,1.49018275592030852629303019083438625058437853797625148367339876520900932374294757e-3
139,1.47868521502768515768074687947172805671287711795402400579513106008572602993359335e-3
140,1.46735833388302337799378763697334158343588587509356971075068383048621786537104488e-3
141,1.45619838446174248374361006457651899425021908455219815718831609732749508803064369e-3
142,1.44520174587434369651635329962018290472509379301693925758820043259729499729231351e-3
143,1.43436490056002174348773408619687861078602051195515566410086160402664564914310778e-3
144,1.42368443064099063540246144463651403174907633344144014477305433071735567816071727e-3
145,1.41315701442967742553854513944201941267839977712357371102307683832080678536418741e-3
146,1.40277942308137184524516601405375590109843994037039537835722816959355085535598419e-3
147,1.39254851738532701970479272189250265553071115354026930900258109954696221249634860e-3
148,1.38246124468768879627263406736822837151012037307714858362710849098828637494307933e-3
149,1.37251463593999025613337073324887173054801662944964964013396108181556751838843474e-3
150,1.36270580286728529244074992359081231505474875020291598175558601043788022872334331e-3
151,1.35303193525031217420297762899761510525500411954960497758779217651276335483957077e-3
152,1.34349029831637611896860166608990568468065235353720965595479937000184167928733344e-3
153,1.33407823023392031559906231764568614498512322798271601475928699929437930745061093e-3
154,1.32479313970601872817886471149805182041049963782013120602900956937699598170141141e-3
155,1.31563250365827244783681170511805747274302138880195090972115034118107736462803516e-3
156,1.30659386501682533908473935902998386679080406806821104927535788672562772323958485e-3
157,1.29767483057243517896986401215043532909294563492098878490924913479645234943371294e-3
158,1.28887306892674427360240479542313550828925503857743046494094463581590656902081963e-3
159,1.28018630851708946009137973492389635004853745389151595922004204699354798253253415e-3
160,1.27161233571637620967286570583257358460606819869547686875404429647291522977624162e-3
161,1.26314899300471593553172792715986273195373201665675603308481562791229716608871459e-3
162,1.25479417720969022462556890986551448465776342751072057529334948653467119647953784e-3
163,1.24654583781226116080738581190138152935131053570930551476831910149199473706866533e-3
164,1.23840197531549375000532375431632701564066909813530763893756753475081639751574550e-3
165,1.23036063967339522263843339276608940318705615070891949669560305384745393386903501e-3
166,1.22241992877730716425127434718456583228414606781190310388079429653739553725104185e-3
167,1.21457798699741047043743675060335949791265740299556953329952465571981935398869500e-3
168,1.20683300377702046420509245102555521667127104920498246344962551499826181554467783e-3
169,1.19918321227746055269839234457151285547934214014261572541329714069295615316276023e-3
170,1.19162688807140790926897218015478224568065376532852767584601606650387359089433314e-3
171,1.18416234788270419573298192316934337204985470279951825778244374413915698430714849e-3
172,1.17678794837071861518969413401042582486112724683174012836022361779548915970344022e-3
173,1.16950208495743991402501264470128669579706307644743706101303729702907536822126370e-3
174,1.16230319069555861920513198020237999009714771019451864444877133141298700002981416e-3
175,1.15518973517588107207516017970293188036489346242745723798776317462126559084858838e-3
176,1.14816022347249295411681093840268442976817036653494203342505962705978144180528105e-3
177,1.14121319512416222925181990320769538517897188631834266063157208289131508462911883e-3
178,1.13434722315053997239616091329635697523592702786964176855302949865662287198290830e-3
179,1.12756091310178262248582481736410896851552453497135936437501532597996577317051886e-3
180,1.12085290214028098475584994670020744849584525692065002441359235018781263323419572e-3
181,1.11422185815323999439652101855739222780790190557232104863502400937846622882860535e-3
182,1.10766647889490901344867136397995412723591562090812797471813193119445302200979710e-3
183,1.10118549115731542616062366643380707730551681403252906348810133413588767281789338e-3
184,1.09477764996840467653331019007010193686599367360944476012067145961081332705216729e-3
185,1.08844173781653779787592938936070327261791001422562876688565192753946965905984815e-3
186,1.08217656390034305184712346508141103255360415939739145132739633951907425308442154e-3
187,1.07598096340296164969553277749125669434653008972310626998625698140112181987902716e-3
188,1.06985379678976878984229383183242307406879880172158743808138713953831681427013645e-3
189,1.06379394912869052521882840546153756613136944248798436550169842045212544093182230e-3
190,1.05780032943227437602880788626834355692844378052604233759134700665293825884239542e-3
191,1.05187187002070722788818492890266443320203009054874163642151770109256176341871763e-3
192,1.04600752590500799494195763654742332910293303416431332995167365721593973223587056e-3
193,1.04020627418965487053430403393734012091456065381409033016509407719039965492411791e-3
194,1.03446711349393781726993601807031216802659312205142674122905376940059976313666318e-3
195,1.02878906339135634208672108110410388654109850374529218019836971908560686457040960e-3
196,1.02317116386641063407861537523005805244767444111764442915885503307386624099911730e-3
197,1.01761247478816088292869006743986471498081160322879903961595572913038293110670413e-3
198,1.01211207539995510970177702456547822424030264911203927918444434976192476277963325e-3
199,1.00666906382475019151112970246344831961506501208844083781046052153247172594044044e-3
200,1.00128255658547400587954506614150642680481111946993505096354855159414184659820273e-3
201,9.95951688139898814895306191806175875491589596586381906882655373145520721506935270e-4
202,9.90675610429517205909711211518566172598937954837271420948759838293021948089913517e-4
203,9.85453492441932154069288363704783764609137635862506977079463127391992053984765462e-4
204,9.80284519786292119265572609133329218140870370506485474107791005988619452849942780e-4
205,9.75167894281320580430600584051269817569844838068545950244216481444591944207200838e-4
206,9.70102833555507085436095700684028090200580607427688712281848627344011183016549603e-4
207,9.65088570659043794853694371323255916304514501017817095455691519262531745492758247e-4
208,9.60124353687107660073837575968759073497891126301792159785442230339532502175365375e-4
209,9.55209445414103836341893796408985014776147351692916965098611219188729618366903293e-4
210,9.50343122938500722854447830517966227150302841559558533766712100418194329254562155e-4
211,9.45524677337901177099667579801545005403923570760844822278965461774069935286428366e-4
212,9.40753413334007999387667672390029049961193740312701764963666960791418154405470782e-4
213,9.36028648967154754690106722973131743843310712498193781129641618520597645731319330e-4
214,9.31349715280085419697870018234802944616471365715495469287247109252898437424460257e-4
215,9.26715956010678239214729636341803464478721914039621948395049847727251035678083096e-4
216,9.22126727293320572112996887377659686842858632566308684740370990898791771680946754e-4
217,9.17581397368652426314237288162190654699205586468688031898298704829532974397115954e-4
218,9.13079346301406846673392540215338208727624838687884828207588500322010653916095695e-4
219,9.08619965706085350171979878187874277422191654302770354131657260843350441268307157e-4
220,9.04202658480216219345034960019969660186587209545193929622281686119447058962973780e-4
221,8.99826838544952686260149580946913133667960163330261698078829560348946876508170598e-4
222,8.95491930592776883575972090135707716812306165592620087658777766296709827690268048e-4
223,8.91197369842083923281193346877183267578037576653311707973319216511214127458301421e-4
224,8.86942601798428603859367963491322387237807913333840441676592631416518653576650991e-4
225,8.82727082022225058247948295961536027786244050602989878358687819783210333621501406e-4
226,8.78550275902697152714310340248480011240797404608097962714737279375199524915805163e-4
227,8.74411658437884644594835905608669024283439363013643929408273184042071063112550162e-4
228,8.70310714020517017995516735686665856664841494888463888290934486392390002174402856e-4
229,8.66246936229573553652742288991364861093475894084962391139745861435781765171694490e-4
230,8.62219827627354564211740252176947043686465306814101193333181834931810964324988140e-4
231,8.58228899561894850632296453499776142000020852757364364569086590569439458525026424e-4
232,8.54273671974556320165542625082878215998491783072100577145339341262862083079926503e-4
233,8.50353673212642361732644695421376747879818089827309602637085739676431491439350116e-4
234,8.46468439846882010455980642440537064571273969999686302516612500854724811629130663e-4
235,8.42617516493637158959886161058658839439835402380210820584197708323435101795199899e-4
236,8.38800455641691097843321368806079016960464503649273020298921712200762171644136397e-4
237,8.35016817483481499983482893235985442007706194344131732678879429355543693914211684e-4
238,8.31266169750645611211908532564879923004137906797756392226363861126697279287600674e-4
239,8.27548087553749881189419768976369420369894272257931937587728351350959124826680833e-4
240,8.23862153226080570410738405948376175386066902654294522315085426000091772259612791e-4
241,8.20207956171376009270203030228483298451423644466817925038499565722502461447111121e-4
242,8.16585092715385169769113553619087718267947779671002637894676158834633706814185202e-4
243,8.12993165961141046187376798086151063895164205610813498232204760492457402076765629e-4
244,8.09431785647841034029198260956556927057184944409617726638733931109678388432815582e-4
245,8.05900568013230052658234728497975245138041376425721252706563634752790996766757385e-4
246,8.02399135659385581871004991199042830309920934641083608577261304610963519881730243e-4
247,7.98927117421807081575950908802839723487330248811468471426790030440990170761140147e-4
248,7.95484148241715441867487055500710174818994224873971080993202401740340119150134256e-4
249,7.92069869041471173000063783098671270538074675635848767708747754990900363723620708e-4
250,7.88683926603022995750340833536796413488720984123195099085831879440388101453241157e-4
251,7.85325973449301336873358058899330755591586395382723035031288755043172828455566885e-4
252,7.81995667728473976082003793498156661460011559263271341362778410329328513527900417e-4
253,7.78692673100983734291981723855475090576579921232738620171615209353558345158085834e-4
254,7.75416658629290641682575243003269067636922638931046924277433369442244578348415230e-4
255,7.72167298670243482162804742638184866214041368323669639891350873176176836762435739e-4
256,7.68944272770007981677365576159741847844121414247467499686921856215249945753887016e-4
