pade approximant f(x^2) f(x):=inverf(x)/x

range x in [0, 0.5]
70,3.0906904573240420296607797822883547856191e-3
71,3.0438552240413583720698736663956137101709e-3
72,2.9983726398996133515650013291248883299457e-3
73,2.9541856520668495355223882653051215855195e-3
74,2.9112403510908280692453668275671719460464e-3
75,2.8694857582238364863406235433124279168624e-3
76,2.8288736297367369865528020439384918772986e-3
77,2.7893582766628551201777756095849395189489e-3
78,2.7508963985735256089963796122611545895496e-3
79,2.7134469301298396609447462407447746642843e-3
80,2.6769708992817007406482050536695195699377e-3
81,2.6414312960977003569962383480337421382677e-3
82,2.6067929513093085094101055424926965443858e-3
83,2.5730224237419402268714949842567439166922e-3
84,2.5400878958849172853698250805896102607537e-3
85,2.5079590769233298461222185239162838127050e-3
86,2.4766071126183073852077487278630926298104e-3
87,2.4460045014790969214999631361479810786066e-3
88,2.4161250167213755471575284527767794836441e-3
89,2.3869436335520560117535106830252231127142e-3
90,2.3584364613620596151351002636709482464917e-3
91,2.3305806804456403321514113145266910287672e-3
92,2.3033544828982969809601325788452687164280e-3
93,2.2767370173755020142631730953429511511161e-3
94,2.2507083374217552683530133454000271414970e-3
95,2.2252493531041472147496828402629525791247e-3
96,2.2003417857069618517663159223641992539873e-3
97,2.1759681252641061559824715592167750129600e-3
98,2.1521115907245355018068870683775024075122e-3
99,2.1287560925625431986508111803208216616243e-3
100,2.1058861976599667594849729735769800081484e-3
101,2.0834870963011846102249426101923633929211e-3
102,2.0615445711343692181473327787390106009259e-3
103,2.0400449679639461504750448275242188959248e-3
104,2.0189751682496906875948012274342800304992e-3
105,1.9983225631974703177333705128271054491184e-3
106,1.9780750293353987189774581150030932321874e-3
107,1.9582209054771817865061077438042973276340e-3
108,1.9387489709817780856061270589216795051471e-3
109,1.9196484252252269778422157193401629781297e-3
110,1.9009088682066734978892979245522404652121e-3
111,1.8825202822162901967351808895627319790860e-3
112,1.8644730144980079838445016970524746569180e-3
113,1.8467577608447614239462431347907533335139e-3
114,1.8293655500683659279293003250014548631448e-3
115,1.8122877292902082202917557080822044992940e-3
116,1.7955159500026775797464960633157186397154e-3
117,1.7790421548547209892192860585446347134325e-3
118,1.7628585651180952852763685993151021220972e-3
119,1.7469576687938361482027245553532849660124e-3
120,1.7313322093211877320596330412197446468350e-3
121,1.7159751748537564417219265664252886914085e-3
122,1.7008797880699846815080350079299441983195e-3
123,1.6860394964872006707082372734625688325486e-3
124,1.6714479632505026186294334831294804296985e-3
125,1.6570990583695924118616436322060937683670e-3
126,1.6429868503783971066003851317947283797681e-3
127,1.6291055983939165437246116987090706606815e-3
128,1.6154497445522220015138102737334338564196e-3
