pade approximant f(x^2) f(x):=inverf(x)/x

range x in [0, 0.5]
expected
series x = 0
0,8.8622692545275801364908374167057259139877e-1
1,2.3201366653465449355353408258828482091723e-1
2,1.2755617530559795825399974141573007963676e-1
3,8.6552129241547533729641792629060194665105e-2
4,6.4959617745385413382014668620317399204441e-2
5,5.1731281984616374112631885889952634935997e-2
6,4.2836720651797349844651488262505239778749e-2
7,3.6465929308531626325579767243837255197190e-2
8,3.1689005021605446809609468464282901899488e-2
9,2.7980632964995224733430667242687604018208e-2
10,2.5022275841198349457169309105600322973899e-2
11,2.2609863318897574432816586571825165781991e-2
12,2.0606780379059001718768799653504673904927e-2
13,1.8918217250778854463498776390977373648034e-2
14,1.7476370562856546190429615204363584668515e-2
15,1.6231500987685251275294964378105742488956e-2
16,1.5146315063247805520385389047805864944449e-2
17,1.4192316002509964151153600056745641681785e-2
18,1.3347364197421297150347208558941419970241e-2
19,1.2594004871332069841596695418955814396977e-2
20,1.1918295936392039873858223511763440202387e-2
21,1.1308970105922536772225097708007186828339e-2
22,1.0756825303317957577790613079266161890469e-2
23,1.0254274081853468214095551560089504372562e-2
24,9.7950057700711756518126010270056100783776e-3
25,9.3737298191820815168329342289543496456882e-3
26,8.9859785028433780880376238287398044163473e-3
27,8.6279535807094346525409620158380486721558e-3
28,8.2964059277392414044119661192025099364919e-3
29,7.9885401626033548377731895234711929719716e-3
30,7.7019384322597611663687707219955837616974e-3
31,7.4344990178315306038420062789284884360247e-3
32,7.1843865112683124441164140632376581080155e-3
33,6.9499911010647148571204842518673815204103e-3
34,6.7298950853415298182764122192887143111599e-3
35,6.5228451614500617643493149302700363328440e-3
36,6.3277293643431432300182758477149067712955e-3
37,6.1435577703841559168944884807269877554413e-3
38,5.9694462697344562943731574072007053239019e-3
39,5.8046028538343017603007796638205937259745e-3
40,5.6483159755515600175138862380178995677855e-3
41,5.4999446262039635084038637831808182528010e-3
42,5.3589098416864454702891534002407499916407e-3
43,5.2246874036874906098435506426111574128701e-3
44,5.0968015447062055663718756487071818850879e-3
45,4.9748194997390403988281427464794211590353e-3
46,4.8583467749584855368178604328943949950513e-3
47,4.7470230258849766230607381466187920329663e-3
48,4.6405184555590319253643416713639004284937e-3
49,4.5385306579070848561815048702723277507594e-3
50,4.4407818435271835322720794283278014947569e-3
51,4.3470163950215103052998189532107904107958e-3
52,4.2569987071827288276971084030438247391400e-3
53,4.1705112741261715711220461110577056062055e-3
54,4.0873529911090216384896335745675397437686e-3
55,4.0073376434981420567945225526228758778065e-3
56,3.9302925593064781484432078826759782330662e-3
57,3.8560574050482175518009173903010630466530e-3
58,3.7844831074738258156007370209017804255348e-3
59,3.7154308861260479243302597212767242018581e-3
60,3.6487713836790928372093384255572577784016e-3
61,3.5843838827445689482347495213494167974964e-3
62,3.5221555992978687826452261007664754183807e-3
63,3.4619810441376602308553003364471291938175e-3
64,3.4037614448720708872919880402051898466964e-3
65,3.3474042218555647207579932034110895216461e-3
66,3.2928225123033171705625996685096773471275e-3
67,3.2399347375042310734138021477181804589439e-3
68,3.1886642086556295315348392193372474449127e-3
69,3.1389387673655756824423046396706734474937e-3
